combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.6118688894832248,0.6053726375846904,0.1,0.001,3,1,10
2,0.6080948560221093,0.601569000356591,0.1,0.001,3,1,50
3,0.607084484859291,0.5997860454059194,0.1,0.001,3,1,100
4,0.6103533327389974,0.603827409960775,0.1,0.001,3,10,10
5,0.6075302368428873,0.6006180910495661,0.1,0.001,3,10,50
6,0.6066387328756946,0.5997860454059194,0.1,0.001,3,10,100
7,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,10
8,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,50
9,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,100
10,0.616177825324656,0.6096517294663022,0.1,0.001,5,1,10
11,0.6118688894832248,0.6046594556044217,0.1,0.001,5,1,50
12,0.6109476687171258,0.6033519553072626,0.1,0.001,5,1,100
13,0.6132952958307332,0.6062046832283371,0.1,0.001,5,10,10
14,0.6093132447772726,0.6025199096636158,0.1,0.001,5,10,50
15,0.6080651392232028,0.6010935457030786,0.1,0.001,5,10,100
16,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,10
17,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,50
18,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,100
19,0.6199221419868651,0.61167241174373,0.1,0.001,8,1,10
20,0.6149000029716799,0.606085819564959,0.1,0.001,8,1,50
21,0.6136221806187038,0.6048971829311779,0.1,0.001,8,1,100
22,0.6144542509880836,0.6077499108522525,0.1,0.001,8,10,10
23,0.6098184303586818,0.6029953643171283,0.1,0.001,8,10,50
24,0.6083325904133606,0.6010935457030786,0.1,0.001,8,10,100
25,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,10
26,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,50
27,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,100
28,0.6209325131496836,0.6123855937239986,0.1,0.001,10,1,10
29,0.6160292413301239,0.6067990015452276,0.1,0.001,10,1,50
